district	firstname	lastname	party	committee_leadership	committee_membership	UID
IN06	Greg	Pence	R	[]	['IF00_118', 'IF03_118', 'IF14_118', 'IF17_118']	P000615
IN07	André	Carson	D	['IG01_118']	['IG00_118', 'PW00_118', 'ZS00_118', 'PW05_118', 'PW14_118']	C001072
IN08	Larry	Bucshon	R	[]	['IF00_118', 'IF03_118', 'IF14_118', 'IF17_118']	B001275
IN09	Erin	Houchin	R	[]	['BA00_118', 'ED00_118', 'RU00_118', 'BA04_118', 'BA16_118', 'BA21_118', 'ED02_118', 'ED13_118']	H001093
KS01	Tracey	Mann	R	[]	['AG00_118', 'PW00_118', 'SM00_118', 'PW05_118', 'PW12_118', 'PW14_118', 'SM21_118', 'SM22_118']	M000871
KS02	Jake	LaTurner	R	[]	['AP00_118', 'GO00_118', 'AP04_118', 'AP07_118', 'AP24_118', 'GO06_118']	L000266
KS03	Sharice	Davids	D	[]	['AG00_118', 'PW00_118', 'SM00_118', 'PW05_118', 'PW13_118', 'SM27_118']	D000629
KS04	Ron	Estes	R	[]	['BU00_118', 'ED00_118', 'WM00_118', 'WM01_118', 'WM04_118', 'WM05_118']	E000298
KY01	James	Comer	R	['GO00_118']	['ED00_118', 'ED02_118', 'ED10_118']	C001108
KY02	Brett	Guthrie	R	['IF14_118']	['IF00_118', 'IF02_118', 'IF03_118']	G000558
KY03	Morgan	McGarvey	D	['SM22_118']	['SM00_118', 'VR00_118', 'SM23_118', 'VR09_118', 'VR10_118']	M001220
KY04	Thomas	Massie	R	['JU05_118']	['FD00_118', 'JU00_118', 'PW00_118', 'RU00_118', 'JU03_118', 'PW02_118', 'PW05_118', 'PW12_118']	M001184
KY05	Harold	Rogers	R	['AP19_118']	['AP00_118', 'AP02_118', 'AP04_118']	R000395
KY06	Andy	Barr	R	['BA20_118']	['BA00_118', 'FA00_118', 'ZS00_118', 'BA01_118', 'FA05_118']	B001282
LA01	Steve	Scalise	R	[]	[]	S001176
LA02	Troy	Carter	D	['HM12_118']	['HM00_118', 'PW00_118', 'HM08_118', 'PW02_118', 'PW13_118', 'PW14_118']	C001125
LA03	Clay	Higgins	R	['HM11_118']	['GO00_118', 'HM00_118', 'GO06_118', 'GO24_118', 'HM07_118']	H001077
LA04	Mike	Johnson	R	['JU10_118']	['AS00_118', 'FD00_118', 'JU00_118', 'AS03_118', 'AS28_118', 'JU05_118']	J000299
LA05	Julia	Letlow	R	[]	['AP00_118', 'ED00_118', 'AP01_118', 'AP07_118', 'AP10_118']	L000595
LA06	Garret	Graves	R	['PW05_118']	['II00_118', 'PW00_118', 'II06_118', 'II13_118', 'PW13_118']	G000577
MA01	Richard	Neal	D	['WM00_118']	[]	N000015
MA02	James	McGovern	D	['RU00_118']	['AG00_118']	M000312
MA03	Lori	Trahan	D	[]	['IF00_118', 'IF14_118', 'IF17_118']	T000482
MA04	Jake	Auchincloss	D	[]	['PW00_118', 'ZS00_118', 'PW05_118', 'PW07_118', 'PW12_118']	A000148
MA05	Katherine	Clark	D	[]	[]	C001101
MA06	Seth	Moulton	D	['AS29_118']	['AS00_118', 'PW00_118', 'ZS00_118', 'AS35_118', 'PW02_118', 'PW12_118', 'PW14_118']	M001196
MA07	Ayanna	Pressley	D	[]	['BA00_118', 'BA04_118', 'BA20_118']	P000617
MA08	Stephen	Lynch	D	['BA21_118']	['BA00_118', 'FD00_118', 'GO00_118', 'BA16_118', 'GO06_118', 'GO12_118']	L000562
MA09	William	Keating	D	['FA14_118']	['AS00_118', 'FA00_118', 'AS26_118', 'AS35_118', 'FA05_118']	K000375
MD01	Andy	Harris	R	['AP01_118']	['AP00_118', 'AP07_118', 'AP15_118']	H001052
MD02	C.	Ruppersberger	D	[]	['AP00_118', 'AP02_118', 'AP19_118']	R000576
